phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.1,0,-1,1.0,184.1249228251039,33.68055555555556,0,0,0,0,285.8,23.47926199261993,309.2792619926199,3.0,-161.3,-158.3,59,63,53,47,66,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,1,-1,0.9972857142857144,185.2038705995307,47.22222222222222,0,0,0,0,272.0,23.47926199261993,295.4792619926199,120.0,-162.54,-42.540000000000006,56,57,53,64,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,2,-1,0.9945714285714286,187.1227236080792,50.0,0,0,0,0,280.6,23.47926199261993,304.07926199261993,144.0,-162.82,-18.819999999999965,52,61,56,61,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,3,-1,0.9918571428571428,88.03212121717405,46.18055555555556,117,9,0,0,313.70000000000005,23.47926199261993,337.17926199262,-2811.0,-155.07,-2966.07,68,47,59,59,55,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,4,-1,0.9891428571428572,148.99117647216843,45.83333333333333,42,2,0,0,336.50000000000006,23.47926199261993,359.97926199262,-930.0,-158.26999999999998,-1088.27,72,41,61,51,63,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,5,-1,0.9864285714285714,232.41174366684095,18.75,0,0,5,1,304.70000000000005,23.47926199261993,328.17926199262,-196.0,-160.86,-356.86,55,58,53,68,54,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,6,-1,0.9837142857142858,194.262221431483,35.06944444444444,0,0,0,0,236.2,23.47926199261993,259.6792619926199,15.0,-148.91,-133.91000000000005,69,60,56,48,55,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,7,-1,0.981,152.25269547339806,53.81944444444444,35,2,0,0,283.1,23.47926199261993,306.57926199261993,-693.0,-149.32,-842.3200000000002,73,55,54,50,56,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,8,-1,0.9782857142857144,90.39781595815008,36.80555555555556,109,10,0,0,253.7,23.47926199261993,277.17926199262,-2766.0,-159.85,-2925.85,42,75,61,57,53,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,9,-1,0.9755714285714284,181.72256010523824,52.77777777777778,0,0,0,0,234.5,23.47926199261993,257.9792619926199,168.0,-164.06,3.9399999999999977,49,48,75,62,54,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,10,-1,0.9728571428571428,222.2794715704812,46.18055555555556,0,0,65,3,287.5,23.47926199261993,310.9792619926199,-799.0,-163.94,-962.94,52,61,52,65,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,11,-1,0.9701428571428572,105.6537232210643,60.06944444444444,75,7,0,0,272.1,23.47926199261993,295.57926199261993,-1665.0,-156.56,-1821.5600000000004,55,69,53,55,56,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,12,-1,0.9674285714285714,156.87436523482722,85.76388888888889,0,0,0,0,246.4,23.47926199261993,269.87926199261994,453.0,-155.34,297.66,60,61,61,48,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,13,-1,0.9647142857142856,89.18719731520791,43.05555555555556,95,14,0,0,260.5,23.47926199261993,283.9792619926199,-2400.0,-147.18,-2547.18,55,69,62,60,42,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,14,-1,0.962,181.9828648410495,42.01388888888889,0,0,0,0,298.4,23.47926199261993,321.8792619926199,75.0,-160.34,-85.34,64,53,46,67,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,15,-1,0.9592857142857144,95.2879516138317,70.48611111111111,60,5,0,0,269.4,23.47926199261993,292.8792619926199,-1194.0,-164.18,-1358.1800000000003,58,58,47,63,62,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,16,-1,0.9565714285714286,150.39678853949428,74.30555555555556,0,0,0,0,290.3,23.47926199261993,313.7792619926199,339.0,-154.89,184.11,58,67,49,61,53,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,17,-1,0.9538571428571428,99.31439409112352,61.80555555555556,72,4,0,0,256.9,23.47926199261993,280.3792619926199,-1563.0,-159.07,-1722.07,62,61,51,51,63,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,18,-1,0.9511428571428572,92.30534683026605,55.208333333333336,103,9,0,0,286.6,23.47926199261993,310.07926199261993,-2361.0,-155.14,-2516.14,60,69,55,42,62,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,19,-1,0.9484285714285714,123.60095300572068,43.05555555555556,79,4,0,0,239.2,23.47926199261993,262.67926199262,-1860.0,-149.76999999999998,-2009.77,61,70,47,61,49,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,20,-1,0.9457142857142856,118.35282531500276,65.97222222222221,46,3,0,0,300.0,23.47926199261993,323.4792619926199,-906.0,-158.73,-1064.73,64,53,50,64,57,dqn_penalty_sweep_coeff_0_1_seed42.csv
train,0.1,21,-1,0.943,191.4912163557359,40.27777777777778,0,0,16,1,254.7,23.47926199261993,278.1792619926199,-164.0,-155.38,-319.38,60,65,54,51,58,dqn_penalty_sweep_coeff_0_1_seed42.csv
