baseline,episode,mean_glucose,time_in_range_percent,hypo_count,severe_hyper_count,total_insulin_units,total_reward,episode_length,seed
no_insulin,17,109.11756896972656,71.62629757785467,55,0,0.0,-1029.0,288,60
no_insulin,18,132.34915161132812,45.32871972318339,68,6,0.0,-1503.0,288,61
no_insulin,19,148.51507568359375,64.70588235294117,28,0,0.0,-573.0,288,62
no_insulin,20,238.00430297851562,34.602076124567475,0,106,0.0,-1127.0,288,63
no_insulin,21,166.00315856933594,71.62629757785467,0,0,0.0,42.0,288,64
no_insulin,22,119.96700286865234,30.44982698961938,88,0,0.0,-1986.0,288,65
no_insulin,23,120.1230239868164,97.2318339100346,1,0,0.0,225.0,288,66
no_insulin,24,120.4538803100586,92.38754325259515,1,0,0.0,177.0,288,67
no_insulin,25,174.9796142578125,51.55709342560554,0,0,0.0,-132.0,288,68
no_insulin,26,99.91271209716797,56.055363321799305,123,0,0.0,-2319.0,288,69
no_insulin,27,148.17938232421875,84.08304498269896,0,0,0.0,150.0,288,70
no_insulin,28,191.7789764404297,52.94117647058823,0,31,0.0,-383.0,288,71
no_insulin,29,225.7936248779297,19.031141868512112,0,9,0.0,-486.0,288,72
no_insulin,30,169.08680725097656,62.62975778546713,0,0,0.0,-36.0,288,73
no_insulin,31,308.0836486816406,4.844290657439446,0,202,0.0,-2153.0,288,74
no_insulin,32,189.8966064453125,40.484429065743946,0,0,0.0,-228.0,288,75
no_insulin,33,118.91893005371094,83.39100346020761,5,0,0.0,-27.0,288,76
no_insulin,34,62.24530792236328,15.916955017301039,213,0,0.0,-4365.0,288,77
no_insulin,35,147.1458282470703,79.23875432525952,0,0,0.0,90.0,288,78
no_insulin,36,225.97584533691406,15.22491349480969,0,14,0.0,-559.0,288,79
no_insulin,37,202.9622344970703,34.94809688581315,0,0,0.0,-276.0,288,80
no_insulin,38,231.69268798828125,19.377162629757784,0,3,0.0,-435.0,288,81
no_insulin,39,109.82748413085938,64.70588235294117,45,0,0.0,-918.0,288,82
no_insulin,40,202.03285217285156,27.68166089965398,0,0,0.0,-339.0,288,83
no_insulin,41,113.18248748779297,93.0795847750865,4,0,0.0,108.0,288,84
no_insulin,42,116.30817413330078,82.00692041522491,29,0,0.0,-456.0,288,85
no_insulin,43,117.5370864868164,83.73702422145328,24,0,0.0,-354.0,288,86
no_insulin,44,138.11175537109375,84.08304498269896,0,0,0.0,123.0,288,87
no_insulin,45,289.9760437011719,0.3460207612456747,0,129,0.0,-1608.0,288,88
no_insulin,46,118.7409439086914,94.4636678200692,0,0,0.0,204.0,288,89
no_insulin,47,191.96560668945312,31.833910034602077,0,0,0.0,-303.0,288,90
no_insulin,48,128.43365478515625,79.23875432525952,31,0,0.0,-513.0,288,91
no_insulin,49,217.4212646484375,30.79584775086505,0,40,0.0,-632.0,288,92
no_insulin,50,135.01492309570312,87.5432525951557,0,0,0.0,168.0,288,93
no_insulin,51,193.77337646484375,26.29757785467128,0,0,0.0,-351.0,288,94
no_insulin,52,249.78195190429688,17.647058823529413,0,29,0.0,-658.0,288,95
no_insulin,53,134.9153289794922,89.27335640138408,0,0,0.0,180.0,288,96
no_insulin,54,196.77630615234375,43.944636678200695,0,1,0.0,-212.0,288,97
no_insulin,55,141.58860778808594,74.0484429065744,4,0,0.0,-51.0,288,98
no_insulin,56,202.99473571777344,33.56401384083045,0,0,0.0,-288.0,288,99
no_insulin,57,121.53312683105469,68.85813148788927,72,0,0.0,-1290.0,288,100
no_insulin,58,189.7500762939453,30.79584775086505,0,0,0.0,-324.0,288,101
no_insulin,59,76.23129272460938,38.062283737024224,139,0,0.0,-2871.0,288,102
no_insulin,60,174.6565704345703,60.55363321799308,0,0,0.0,-54.0,288,103
no_insulin,61,236.61361694335938,4.498269896193771,0,41,0.0,-868.0,288,104
no_insulin,62,299.32586669921875,3.8062283737024223,0,141,0.0,-1674.0,288,105
no_insulin,63,185.8494110107422,44.29065743944636,0,0,0.0,-195.0,288,106
no_insulin,64,177.80519104003906,56.055363321799305,0,0,0.0,-105.0,288,107
no_insulin,65,228.1030731201172,17.993079584775085,0,6,0.0,-471.0,288,108
no_insulin,66,243.42050170898438,15.570934256055363,0,88,0.0,-1148.0,288,109
no_insulin,67,212.3323211669922,23.875432525951556,0,8,0.0,-436.0,288,110
no_insulin,68,81.90339660644531,42.56055363321799,119,0,0.0,-2493.0,288,111
no_insulin,69,229.34796142578125,29.757785467128027,0,82,0.0,-977.0,288,112
no_insulin,70,312.4822692871094,3.114186851211073,0,214,0.0,-2264.0,288,113
no_insulin,71,239.25802612304688,26.643598615916954,0,61,0.0,-836.0,288,114
no_insulin,72,182.12643432617188,47.75086505190311,0,6,0.0,-213.0,288,115
no_insulin,73,160.6240692138672,76.8166089965398,0,0,0.0,87.0,288,116
no_insulin,74,273.0203857421875,9.688581314878892,0,120,0.0,-1455.0,288,117
no_insulin,75,154.49864196777344,66.08996539792388,0,0,0.0,-6.0,288,118
no_insulin,76,119.5112075805664,80.27681660899654,12,0,0.0,-219.0,288,119
no_insulin,77,186.7627716064453,51.21107266435986,0,0,0.0,-135.0,288,120
no_insulin,78,168.6304931640625,62.9757785467128,0,0,0.0,-33.0,288,121
no_insulin,79,207.8715362548828,31.4878892733564,0,7,0.0,-362.0,288,122
no_insulin,80,74.9617919921875,33.21799307958477,160,0,0.0,-3270.0,288,123
no_insulin,81,259.9588317871094,2.0761245674740483,0,73,0.0,-1145.0,288,124
no_insulin,82,189.8983612060547,28.37370242214533,0,0,0.0,-333.0,288,125
no_insulin,83,136.9805145263672,67.1280276816609,32,0,0.0,-603.0,288,126
no_insulin,84,192.62474060058594,36.67820069204152,0,0,0.0,-261.0,288,127
no_insulin,85,280.52783203125,12.456747404844291,0,176,0.0,-1879.0,288,128
no_insulin,86,127.38585662841797,75.4325259515571,22,0,0.0,-378.0,288,129
no_insulin,87,179.83152770996094,51.21107266435986,0,0,0.0,-135.0,288,130
no_insulin,88,247.08834838867188,16.262975778546714,0,83,0.0,-1102.0,288,131
no_insulin,89,155.20974731445312,82.69896193771626,0,0,0.0,138.0,288,132
no_insulin,90,205.493408203125,23.529411764705884,0,0,0.0,-375.0,288,133
no_insulin,91,109.95014953613281,65.7439446366782,28,0,0.0,-675.0,288,134
no_insulin,92,193.1996307373047,38.062283737024224,0,0,0.0,-249.0,288,135
no_insulin,93,191.70718383789062,44.29065743944636,0,7,0.0,-251.0,288,136
no_insulin,94,94.97911834716797,49.48096885813149,123,0,0.0,-2430.0,288,137
no_insulin,95,188.2552947998047,48.44290657439446,0,0,0.0,-159.0,288,138
no_insulin,96,251.90467834472656,17.647058823529413,0,86,0.0,-1114.0,288,139
no_insulin,97,212.67208862304688,30.79584775086505,0,0,0.0,-312.0,288,140
no_insulin,98,172.37303161621094,50.865051903114185,0,0,0.0,-138.0,288,141
no_insulin,99,261.6694030761719,14.878892733564014,0,108,0.0,-1314.0,288,142
no_insulin,0,220.6141815185547,32.8719723183391,0,65,0.0,-814.0,288,44
no_insulin,1,101.42931365966797,62.28373702422145,60,0,0.0,-1263.0,288,45
no_insulin,2,178.54415893554688,18.685121107266436,41,0,0.0,-1185.0,288,46
no_insulin,3,281.4766845703125,11.418685121107266,0,152,0.0,-1696.0,288,47
no_insulin,4,229.92723083496094,15.916955017301039,0,25,0.0,-641.0,288,48
no_insulin,5,179.9546661376953,41.86851211072664,0,0,0.0,-216.0,288,49
no_insulin,6,101.87944793701172,55.36332179930796,58,0,0.0,-1296.0,288,50
no_insulin,7,214.82058715820312,24.913494809688583,0,13,0.0,-467.0,288,51
no_insulin,8,257.2738037109375,27.335640138408305,0,106,0.0,-1190.0,288,52
no_insulin,9,122.9586410522461,79.23875432525952,19,0,0.0,-321.0,288,53
no_insulin,10,194.42030334472656,35.294117647058826,0,0,0.0,-273.0,288,54
no_insulin,11,123.0676498413086,92.73356401384083,0,0,0.0,195.0,288,55
no_insulin,12,219.38397216796875,26.643598615916954,0,0,0.0,-348.0,288,56
no_insulin,13,128.3492431640625,95.50173010380622,0,0,0.0,240.0,288,57
no_insulin,14,187.79783630371094,55.70934256055364,0,38,0.0,-403.0,288,58
no_insulin,15,117.54218292236328,74.74048442906575,32,0,0.0,-573.0,288,59
no_insulin,16,109.11756896972656,71.62629757785467,55,0,0.0,-1029.0,288,60
no_insulin,17,132.34915161132812,45.32871972318339,68,6,0.0,-1503.0,288,61
no_insulin,18,148.51507568359375,64.70588235294117,28,0,0.0,-573.0,288,62
no_insulin,19,238.00430297851562,34.602076124567475,0,106,0.0,-1127.0,288,63
no_insulin,20,166.00315856933594,71.62629757785467,0,0,0.0,42.0,288,64
no_insulin,21,119.96700286865234,30.44982698961938,88,0,0.0,-1986.0,288,65
no_insulin,22,120.1230239868164,97.2318339100346,1,0,0.0,225.0,288,66
no_insulin,23,120.4538803100586,92.38754325259515,1,0,0.0,177.0,288,67
no_insulin,24,174.9796142578125,51.55709342560554,0,0,0.0,-132.0,288,68
no_insulin,25,99.91271209716797,56.055363321799305,123,0,0.0,-2319.0,288,69
no_insulin,26,148.17938232421875,84.08304498269896,0,0,0.0,150.0,288,70
no_insulin,27,191.7789764404297,52.94117647058823,0,31,0.0,-383.0,288,71
no_insulin,28,225.7936248779297,19.031141868512112,0,9,0.0,-486.0,288,72
no_insulin,29,169.08680725097656,62.62975778546713,0,0,0.0,-36.0,288,73
no_insulin,30,308.0836486816406,4.844290657439446,0,202,0.0,-2153.0,288,74
no_insulin,31,189.8966064453125,40.484429065743946,0,0,0.0,-228.0,288,75
no_insulin,32,118.91893005371094,83.39100346020761,5,0,0.0,-27.0,288,76
no_insulin,33,62.24530792236328,15.916955017301039,213,0,0.0,-4365.0,288,77
no_insulin,34,147.1458282470703,79.23875432525952,0,0,0.0,90.0,288,78
no_insulin,35,225.97584533691406,15.22491349480969,0,14,0.0,-559.0,288,79
no_insulin,36,202.9622344970703,34.94809688581315,0,0,0.0,-276.0,288,80
no_insulin,37,231.69268798828125,19.377162629757784,0,3,0.0,-435.0,288,81
no_insulin,38,109.82748413085938,64.70588235294117,45,0,0.0,-918.0,288,82
no_insulin,39,202.03285217285156,27.68166089965398,0,0,0.0,-339.0,288,83
no_insulin,40,113.18248748779297,93.0795847750865,4,0,0.0,108.0,288,84
no_insulin,41,116.30817413330078,82.00692041522491,29,0,0.0,-456.0,288,85
no_insulin,42,117.5370864868164,83.73702422145328,24,0,0.0,-354.0,288,86
no_insulin,43,138.11175537109375,84.08304498269896,0,0,0.0,123.0,288,87
no_insulin,44,289.9760437011719,0.3460207612456747,0,129,0.0,-1608.0,288,88
no_insulin,45,118.7409439086914,94.4636678200692,0,0,0.0,204.0,288,89
no_insulin,46,191.96560668945312,31.833910034602077,0,0,0.0,-303.0,288,90
no_insulin,47,128.43365478515625,79.23875432525952,31,0,0.0,-513.0,288,91
no_insulin,48,217.4212646484375,30.79584775086505,0,40,0.0,-632.0,288,92
no_insulin,49,135.01492309570312,87.5432525951557,0,0,0.0,168.0,288,93
no_insulin,50,193.77337646484375,26.29757785467128,0,0,0.0,-351.0,288,94
no_insulin,51,249.78195190429688,17.647058823529413,0,29,0.0,-658.0,288,95
no_insulin,52,134.9153289794922,89.27335640138408,0,0,0.0,180.0,288,96
no_insulin,53,196.77630615234375,43.944636678200695,0,1,0.0,-212.0,288,97
no_insulin,54,141.58860778808594,74.0484429065744,4,0,0.0,-51.0,288,98
no_insulin,55,202.99473571777344,33.56401384083045,0,0,0.0,-288.0,288,99
no_insulin,56,121.53312683105469,68.85813148788927,72,0,0.0,-1290.0,288,100
no_insulin,57,189.7500762939453,30.79584775086505,0,0,0.0,-324.0,288,101
no_insulin,58,76.23129272460938,38.062283737024224,139,0,0.0,-2871.0,288,102
no_insulin,59,174.6565704345703,60.55363321799308,0,0,0.0,-54.0,288,103
no_insulin,60,236.61361694335938,4.498269896193771,0,41,0.0,-868.0,288,104
no_insulin,61,299.32586669921875,3.8062283737024223,0,141,0.0,-1674.0,288,105
no_insulin,62,185.8494110107422,44.29065743944636,0,0,0.0,-195.0,288,106
no_insulin,63,177.80519104003906,56.055363321799305,0,0,0.0,-105.0,288,107
no_insulin,64,228.1030731201172,17.993079584775085,0,6,0.0,-471.0,288,108
no_insulin,65,243.42050170898438,15.570934256055363,0,88,0.0,-1148.0,288,109
no_insulin,66,212.3323211669922,23.875432525951556,0,8,0.0,-436.0,288,110
no_insulin,67,81.90339660644531,42.56055363321799,119,0,0.0,-2493.0,288,111
no_insulin,68,229.34796142578125,29.757785467128027,0,82,0.0,-977.0,288,112
no_insulin,69,312.4822692871094,3.114186851211073,0,214,0.0,-2264.0,288,113
no_insulin,70,239.25802612304688,26.643598615916954,0,61,0.0,-836.0,288,114
no_insulin,71,182.12643432617188,47.75086505190311,0,6,0.0,-213.0,288,115
no_insulin,72,160.6240692138672,76.8166089965398,0,0,0.0,87.0,288,116
no_insulin,73,273.0203857421875,9.688581314878892,0,120,0.0,-1455.0,288,117
no_insulin,74,154.49864196777344,66.08996539792388,0,0,0.0,-6.0,288,118
no_insulin,75,119.5112075805664,80.27681660899654,12,0,0.0,-219.0,288,119
no_insulin,76,186.7627716064453,51.21107266435986,0,0,0.0,-135.0,288,120
no_insulin,77,168.6304931640625,62.9757785467128,0,0,0.0,-33.0,288,121
no_insulin,78,207.8715362548828,31.4878892733564,0,7,0.0,-362.0,288,122
no_insulin,79,74.9617919921875,33.21799307958477,160,0,0.0,-3270.0,288,123
no_insulin,80,259.9588317871094,2.0761245674740483,0,73,0.0,-1145.0,288,124
no_insulin,81,189.8983612060547,28.37370242214533,0,0,0.0,-333.0,288,125
no_insulin,82,136.9805145263672,67.1280276816609,32,0,0.0,-603.0,288,126
no_insulin,83,192.62474060058594,36.67820069204152,0,0,0.0,-261.0,288,127
no_insulin,84,280.52783203125,12.456747404844291,0,176,0.0,-1879.0,288,128
no_insulin,85,127.38585662841797,75.4325259515571,22,0,0.0,-378.0,288,129
no_insulin,86,179.83152770996094,51.21107266435986,0,0,0.0,-135.0,288,130
no_insulin,87,247.08834838867188,16.262975778546714,0,83,0.0,-1102.0,288,131
no_insulin,88,155.20974731445312,82.69896193771626,0,0,0.0,138.0,288,132
no_insulin,89,205.493408203125,23.529411764705884,0,0,0.0,-375.0,288,133
no_insulin,90,109.95014953613281,65.7439446366782,28,0,0.0,-675.0,288,134
no_insulin,91,193.1996307373047,38.062283737024224,0,0,0.0,-249.0,288,135
no_insulin,92,191.70718383789062,44.29065743944636,0,7,0.0,-251.0,288,136
no_insulin,93,94.97911834716797,49.48096885813149,123,0,0.0,-2430.0,288,137
no_insulin,94,188.2552947998047,48.44290657439446,0,0,0.0,-159.0,288,138
no_insulin,95,251.90467834472656,17.647058823529413,0,86,0.0,-1114.0,288,139
no_insulin,96,212.67208862304688,30.79584775086505,0,0,0.0,-312.0,288,140
no_insulin,97,172.37303161621094,50.865051903114185,0,0,0.0,-138.0,288,141
no_insulin,98,261.6694030761719,14.878892733564014,0,108,0.0,-1314.0,288,142
no_insulin,99,203.9383087158203,32.17993079584775,0,6,0.0,-348.0,288,143
no_insulin,0,101.42931365966797,62.28373702422145,60,0,0.0,-1263.0,288,45
no_insulin,1,178.54415893554688,18.685121107266436,41,0,0.0,-1185.0,288,46
no_insulin,2,281.4766845703125,11.418685121107266,0,152,0.0,-1696.0,288,47
no_insulin,3,229.92723083496094,15.916955017301039,0,25,0.0,-641.0,288,48
no_insulin,4,179.9546661376953,41.86851211072664,0,0,0.0,-216.0,288,49
no_insulin,5,101.87944793701172,55.36332179930796,58,0,0.0,-1296.0,288,50
no_insulin,6,214.82058715820312,24.913494809688583,0,13,0.0,-467.0,288,51
no_insulin,7,257.2738037109375,27.335640138408305,0,106,0.0,-1190.0,288,52
no_insulin,8,122.9586410522461,79.23875432525952,19,0,0.0,-321.0,288,53
no_insulin,9,194.42030334472656,35.294117647058826,0,0,0.0,-273.0,288,54
no_insulin,10,123.0676498413086,92.73356401384083,0,0,0.0,195.0,288,55
no_insulin,11,219.38397216796875,26.643598615916954,0,0,0.0,-348.0,288,56
no_insulin,12,128.3492431640625,95.50173010380622,0,0,0.0,240.0,288,57
no_insulin,13,187.79783630371094,55.70934256055364,0,38,0.0,-403.0,288,58
no_insulin,14,117.54218292236328,74.74048442906575,32,0,0.0,-573.0,288,59
no_insulin,15,109.11756896972656,71.62629757785467,55,0,0.0,-1029.0,288,60
no_insulin,16,132.34915161132812,45.32871972318339,68,6,0.0,-1503.0,288,61
no_insulin,17,148.51507568359375,64.70588235294117,28,0,0.0,-573.0,288,62
no_insulin,18,238.00430297851562,34.602076124567475,0,106,0.0,-1127.0,288,63
no_insulin,19,166.00315856933594,71.62629757785467,0,0,0.0,42.0,288,64
no_insulin,20,119.96700286865234,30.44982698961938,88,0,0.0,-1986.0,288,65
no_insulin,21,120.1230239868164,97.2318339100346,1,0,0.0,225.0,288,66
no_insulin,22,120.4538803100586,92.38754325259515,1,0,0.0,177.0,288,67
no_insulin,23,174.9796142578125,51.55709342560554,0,0,0.0,-132.0,288,68
no_insulin,24,99.91271209716797,56.055363321799305,123,0,0.0,-2319.0,288,69
no_insulin,25,148.17938232421875,84.08304498269896,0,0,0.0,150.0,288,70
no_insulin,26,191.7789764404297,52.94117647058823,0,31,0.0,-383.0,288,71
no_insulin,27,225.7936248779297,19.031141868512112,0,9,0.0,-486.0,288,72
no_insulin,28,169.08680725097656,62.62975778546713,0,0,0.0,-36.0,288,73
no_insulin,29,308.0836486816406,4.844290657439446,0,202,0.0,-2153.0,288,74
no_insulin,30,189.8966064453125,40.484429065743946,0,0,0.0,-228.0,288,75
no_insulin,31,118.91893005371094,83.39100346020761,5,0,0.0,-27.0,288,76
no_insulin,32,62.24530792236328,15.916955017301039,213,0,0.0,-4365.0,288,77
no_insulin,33,147.1458282470703,79.23875432525952,0,0,0.0,90.0,288,78
no_insulin,34,225.97584533691406,15.22491349480969,0,14,0.0,-559.0,288,79
no_insulin,35,202.9622344970703,34.94809688581315,0,0,0.0,-276.0,288,80
no_insulin,36,231.69268798828125,19.377162629757784,0,3,0.0,-435.0,288,81
